"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD36",5.78017,7.37028166666667,79.7248244219287,1.2170731893288e-16,2.29223564478187e-12,26.7530160953659
"DUSP6",-4.21268333333333,9.106625,-62.438399338099,1.8144047996646e-15,1.33143840248669e-11,25.0046512378579
"DCT",5.63302666666667,8.76322,61.5628083069954,2.1208002588192e-15,1.33143840248669e-11,24.8933380316693
"SPRY2",-3.80166333333333,9.72646833333333,-53.9545830178037,9.10359082370063e-15,4.28642573933944e-11,23.8033968124302
"MOXD1",3.26306333333333,10.171635,47.0815033965374,4.09409064951039e-14,1.31248225035856e-10,22.5895600654041
"ETV4",-3.84324666666667,9.66707666666667,-46.991686929621,4.181211374191e-14,1.31248225035856e-10,22.5719687959024
"ETV5",-4.07852,8.86754,-45.0658863489371,6.63221208780765e-14,1.78444403516813e-10,22.1827005207667
"ST6GALNAC2",3.87512,9.47800666666667,44.0335093720402,8.56216943600812e-14,2.01574873947221e-10,21.9640956272782
"DTL",-3.19328,10.5105933333333,-43.2732964144886,1.03734670409092e-13,2.17082086942761e-10,21.7984498337689
"NUPR1",3.03099666666667,9.59686833333333,41.379200679353,1.69838463414899e-13,3.1987376199562e-10,21.3675407012037
"LDLR",-3.05364333333333,10.650445,-40.3041809079109,2.26939074723665e-13,3.88560957576864e-10,21.1107521175816
"SPRY4",-3.75289,8.564955,-37.8554504213544,4.52340595721028e-13,7.09948564984153e-10,20.4898881715597
"FST",-3.58683,10.0773183333333,-37.3058066695959,5.31285274927872e-13,7.69709759076272e-10,20.3432031542747
"TXNIP",2.94854333333333,11.3127616666667,36.9804648582414,5.85005147933821e-13,7.8699906829897e-10,20.255042675897
"CCND1",-2.48815666666667,10.616455,-36.492401722325,6.77015944702545e-13,8.21961539659079e-10,20.1208827458823
"IER3",-2.64061,10.8155283333333,-36.3898958268952,6.98278891077055e-13,8.21961539659079e-10,20.0924105860045
"SERPINF1",3.10683,9.21985166666667,36.1685577411588,7.46716033049831e-13,8.27273515674148e-10,20.0305771857906
"FAM111B",-3.70844,8.50741333333333,-34.3582052441702,1.31277028356248e-12,1.26559803537331e-09,19.5059669140509
"CD24",3.32253333333333,6.98094666666667,34.3485816185233,1.31681554048276e-12,1.26559803537331e-09,19.5030850349943
"RNF150",2.43434666666667,9.49022666666667,34.2848494698253,1.3439503402074e-12,1.26559803537331e-09,19.4839741921967
"SCRG1",2.58137666666667,7.49189833333333,34.1289591019701,1.41292519113907e-12,1.26719204999587e-09,19.4370396831135
"SESN3",2.80125333333333,8.40787666666667,33.93433539889,1.50450306997845e-12,1.28799140090792e-09,19.3780643108445
"MR1",2.53182666666667,8.73486,33.4842708828225,1.74203450105185e-12,1.42649903447002e-09,19.2400478436043
"TGFA",-2.51893,9.914235,-33.0408370271364,2.01655298647499e-12,1.55276928641574e-09,19.10178471287
"NT5E",-2.86284666666667,8.17669333333333,-32.9750853024595,2.06112520762417e-12,1.55276928641574e-09,19.0810871637188
"CEMIP",-3.33756,7.89746333333333,-32.7162772524166,2.24728607010817e-12,1.62789945555451e-09,18.9991196409816
"TRPM3",2.92491333333334,8.86901,32.4909229859407,2.42435509524513e-12,1.66120052246732e-09,18.9270923767694
"SLCO4A1",-2.57027,9.70583166666667,-32.4263453371351,2.47785700890901e-12,1.66120052246732e-09,18.9063386488219
"ITGB3",-3.162,10.2595333333333,-32.3325564467037,2.55786424294108e-12,1.66120052246732e-09,18.8761063828575
"UBASH3B",-2.25201,9.67506166666667,-32.1689597378634,2.70424074795955e-12,1.6853522807631e-09,18.8231131933874
"CCNE2",-2.60314333333333,9.777895,-32.0383333630399,2.82767338780258e-12,1.6853522807631e-09,18.7805619708766
"MCM10",-2.82644,9.09864666666667,-32.0015733272268,2.86350605205581e-12,1.6853522807631e-09,18.7685491385774
"IGFBP5",2.74943666666667,9.521815,31.8594916495381,3.00672647764449e-12,1.71602080242292e-09,18.7219589171022
"LSAMP",2.64957333333333,9.15964666666667,31.5983104938275,3.29078760392667e-12,1.82290275683397e-09,18.63564881198
"NOV",2.65835,10.1936583333333,30.9884598155428,4.0746922119875e-12,2.19265008915922e-09,18.4306925992023
"SLC20A1",-2.43890666666666,10.8567133333333,-30.8625834077577,4.26059906390236e-12,2.22900341026492e-09,18.3877797857922
"LCTL",2.20834,9.88816333333333,30.630511982371,4.62803349001393e-12,2.35579412840331e-09,18.3081072495151
"CDC25A",-2.54431,8.64988833333333,-30.467697437532,4.90637039608041e-12,2.43175210630996e-09,18.2517760996515
"TLR4",-2.52759666666666,10.0262683333333,-30.3473379561837,5.12384224315629e-12,2.47442166173348e-09,18.2099006019797
"CLSPN",-2.96678,8.14402333333333,-30.1445618784911,5.51435398964199e-12,2.59643357602293e-09,18.1388981748685
"RRM2",-2.44366,10.3011033333333,-29.9348539331814,5.95258276384309e-12,2.61206104313893e-09,18.0648646800953
"ANK3",2.39553,9.87996833333333,29.9347860105275,5.95273070496282e-12,2.61206104313893e-09,18.0648406009618
"AZGP1",2.07956333333333,9.21515166666667,29.929796290048,5.96360968753181e-12,2.61206104313893e-09,18.0630715260227
"JUN",2.24402,9.64339,29.7767076788585,6.30814026850708e-12,2.7001707685696e-09,18.0086232411047
"PCDH10",2.06502333333333,10.3973216666667,29.483469837024,7.03020559238398e-12,2.82082658973035e-09,17.9033917983049
"SNAI2",2.65778333333333,10.1099416666667,29.4515474251418,7.11409018228693e-12,2.82082658973035e-09,17.8918610679115
"ARHGEF37",2.13572,8.51249,29.3918770864334,7.27382836014473e-12,2.82082658973035e-09,17.8702676513422
"AOAH",1.98075666666667,6.85392166666667,29.3580882874607,7.36601065538305e-12,2.82082658973035e-09,17.8580171380387
"TCP11L2",2.63763,9.124585,29.3379649207549,7.42151508778863e-12,2.82082658973035e-09,17.8507132377799
"SFRP1",-2.10376666666667,9.86295,-29.2368594443236,7.70736665386123e-12,2.82082658973035e-09,17.8139263325194
"SEMA3C",2.34096666666667,11.5575833333333,29.1976587762085,7.82140479492323e-12,2.82082658973035e-09,17.7996227518679
"CDCA5",-2.16880666666667,8.81451,-29.1402809425809,7.99164883472268e-12,2.82082658973035e-09,17.778645652311
"AMIGO2",-2.71758,8.96217666666667,-29.1206159426751,8.05092156109972e-12,2.82082658973035e-09,17.7714449683744
"KIAA0040",-1.93776666666667,8.42691,-29.1084774140343,8.08774746975889e-12,2.82082658973035e-09,17.7669973639937
"MIR221",-2.50408333333333,8.556775,-28.636084209944,9.6737198270272e-12,3.31263344040419e-09,17.5921911061731
"TRAK1",1.945,10.3174666666667,28.4543311801786,1.03716476412398e-11,3.48820735134125e-09,17.5240286645312
"FAM84B",-2.96484333333333,9.04787833333333,-28.3444349283108,1.08201284731054e-11,3.5751982396924e-09,17.4825663394786
"LRP1B",2.72054666666667,7.6432,28.2962559328981,1.10233667167452e-11,3.57955325419275e-09,17.4643296762597
"SH3TC2",-2.26067,8.56070833333333,-27.9187803801709,1.27673995222785e-11,4.07561360343377e-09,17.320180350304
"RASGRP1",2.14128333333333,7.38064166666667,27.7886358241612,1.34366201142992e-11,4.16067414440586e-09,17.2699535850346
"AHNAK2",2.27282333333333,9.07352166666667,27.698764591956,1.39210122232682e-11,4.16067414440586e-09,17.2351095819393
"HIST1H2BB",-2.13094666666667,9.54189333333333,-27.6748591978219,1.40530380794621e-11,4.16067414440586e-09,17.2258190957076
"SOX2",2.12812,10.7249066666667,27.6299564592109,1.43047305845286e-11,4.16067414440586e-09,17.2083430816488
